Number,Name,Generation,About,Types/0,Types/1,Weight/Minimum,Weight/Maximum,Height/Minimum,Height/Maximum,Base Stamina,Base Attack,Base Defense,Base Flee Rate,MaxCP,MaxHP
100,Voltorb,Generation I,Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery.,Electric,,9.1kg,11.7kg,0.44m,0.56m,80 stamina points.,109 attack points.,114 defense points.,10% chance to flee.,733,839
101,Electrode,Generation I,"Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity.",Electric,,58.27kg,74.92kg,1.05m,1.35m,120 stamina points.,173 attack points.,179 defense points.,6% chance to flee.,1496,1646
102,Exeggcute,Generation I,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",Grass,Psychic,2.19kg,2.81kg,0.35m,0.45m,120 stamina points.,107 attack points.,140 defense points.,10% chance to flee.,978,1099
103,Exeggutor,Generation I,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",Grass,Psychic,105kg,135kg,1.75m,2.25m,190 stamina points.,233 attack points.,158 defense points.,6% chance to flee.,2752,2955
104,Cubone,Generation I,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",Ground,,5.69kg,7.31kg,0.35m,0.45m,100 stamina points.,90 attack points.,165 defense points.,10% chance to flee.,889,1006
105,Marowak,Generation I,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon's tempered and hardened spirit is not easily broken.,Ground,,39.38kg,50.63kg,0.88m,1.13m,120 stamina points.,144 attack points.,200 defense points.,6% chance to flee.,1505,1656
106,Hitmonlee,Generation I,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",Fighting,,43.57kg,56.02kg,1.31m,1.69m,100 stamina points.,224 attack points.,211 defense points.,9% chance to flee.,1349,1492
107,Hitmonchan,Generation I,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,Fighting,,43.93kg,56.48kg,1.22m,1.57m,100 stamina points.,193 attack points.,212 defense points.,9% chance to flee.,1370,1516
108,Lickitung,Generation I,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",Normal,,57.31kg,73.69kg,1.05m,1.35m,180 stamina points.,108 attack points.,137 defense points.,9% chance to flee.,1477,1626
109,Koffing,Generation I,"If Koffing becomes agitated, it raises the toxicity of its internal gases and then jets them out from all over its body. This Pokémon may also overinflate its round body, then explode.",Poison,,0.88kg,1.13kg,0.53m,0.68m,80 stamina points.,119 attack points.,164 defense points.,10% chance to flee.,1025,1151
110,Weezing,Generation I,"Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.",Poison,,8.31kg,10.69kg,1.05m,1.35m,130 stamina points.,174 attack points.,221 defense points.,6% chance to flee.,2073,2250
111,Rhyhorn,Generation I,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.",Ground,Rock,100.63kg,129.38kg,0.88m,1.13m,160 stamina points.,140 attack points.,157 defense points.,10% chance to flee.,1055,1182
112,Rhydon,Generation I,Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.,Ground,Rock,105kg,135kg,1.66m,2.14m,210 stamina points.,222 attack points.,206 defense points.,6% chance to flee.,2068,2243
113,Chansey,Generation I,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",Normal,,30.27kg,38.92kg,0.96m,1.24m,500 stamina points.,60 attack points.,176 defense points.,9% chance to flee.,549,675
114,Tangela,Generation I,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",Grass,,30.63kg,39.38kg,0.88m,1.13m,130 stamina points.,183 attack points.,205 defense points.,9% chance to flee.,1586,1739
115,Kangaskhan,Generation I,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you.",Normal,,70kg,90kg,1.93m,2.48m,210 stamina points.,181 attack points.,165 defense points.,9% chance to flee.,1875,2043
116,Horsea,Generation I,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.",Water,,7kg,9kg,0.35m,0.45m,60 stamina points.,129 attack points.,125 defense points.,10% chance to flee.,688,794
117,Seadra,Generation I,Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.,Water,,21.88kg,28.13kg,1.05m,1.35m,110 stamina points.,187 attack points.,182 defense points.,6% chance to flee.,1559,1713
118,Goldeen,Generation I,"Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.",Water,,13.13kg,16.88kg,0.53m,0.68m,90 stamina points.,123 attack points.,115 defense points.,15% chance to flee.,851,965
119,Seaking,Generation I,"In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.",Water,,34.13kg,43.88kg,1.14m,1.46m,160 stamina points.,175 attack points.,154 defense points.,7% chance to flee.,1877,2043
120,Staryu,Generation I,"Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.",Water,,30.19kg,38.81kg,0.7m,0.9m,60 stamina points.,137 attack points.,112 defense points.,15% chance to flee.,821,937
121,Starmie,Generation I,"Starmie's center section-the core-glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname the gem of the sea.""""",Water,Psychic,70kg,90kg,0.96m,1.24m,120 stamina points.,210 attack points.,184 defense points.,6% chance to flee.,2007,2182
122,Mr Mime,Generation I,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",Psychic,Fairy,47.69kg,61.31kg,1.14m,1.46m,80 stamina points.,192 attack points.,233 defense points.,9% chance to flee.,1345,1494
123,Scyther,Generation I,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke.",Bug,Flying,49kg,63kg,1.31m,1.69m,140 stamina points.,218 attack points.,170 defense points.,9% chance to flee.,1905,2073
124,Jynx,Generation I,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",Ice,Psychic,35.52kg,45.67kg,1.22m,1.57m,130 stamina points.,223 attack points.,182 defense points.,9% chance to flee.,1563,1716
125,Electabuzz,Generation I,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",Electric,,26.25kg,33.75kg,0.96m,1.24m,130 stamina points.,198 attack points.,173 defense points.,9% chance to flee.,1947,2119
126,Magmar,Generation I,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon's fiery bursts create heat waves that ignite grass and trees in its surroundings.",Fire,,38.94kg,50.06kg,1.14m,1.46m,130 stamina points.,206 attack points.,169 defense points.,9% chance to flee.,2086,2265
127,Pinsir,Generation I,Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pokémon's movements turn sluggish in cold places.,Bug,,48.13kg,61.88kg,1.31m,1.69m,130 stamina points.,238 attack points.,197 defense points.,9% chance to flee.,1950,2121
128,Tauros,Generation I,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",Normal,,77.35kg,99.45kg,1.22m,1.57m,150 stamina points.,198 attack points.,197 defense points.,9% chance to flee.,1686,1844
129,Magikarp,Generation I,Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,Water,,8.75kg,11.25kg,0.79m,1.01m,40 stamina points.,29 attack points.,102 defense points.,15% chance to flee.,203,262
130,Gyarados,Generation I,"When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature.",Water,Flying,205.63kg,264.38kg,5.69m,7.31m,190 stamina points.,237 attack points.,197 defense points.,7% chance to flee.,2498,2688
131,Lapras,Generation I,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",Water,Ice,192.5kg,247.5kg,2.19m,2.81m,260 stamina points.,186 attack points.,190 defense points.,9% chance to flee.,2777,2980
132,Ditto,Generation I,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",Normal,,3.5kg,4.5kg,0.26m,0.34m,96 stamina points.,91 attack points.,91 defense points.,10% chance to flee.,809,919
133,Eevee,Generation I,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,Normal,,5.69kg,7.31kg,0.26m,0.34m,110 stamina points.,104 attack points.,121 defense points.,10% chance to flee.,957,1077
134,Vaporeon,Generation I,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,Water,,25.38kg,32.63kg,0.88m,1.13m,260 stamina points.,205 attack points.,177 defense points.,6% chance to flee.,2618,2816
135,Jolteon,Generation I,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",Electric,,21.44kg,27.56kg,0.7m,0.9m,130 stamina points.,232 attack points.,201 defense points.,6% chance to flee.,1968,2140
136,Flareon,Generation I,"Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",Fire,,21.88kg,28.13kg,0.79m,1.01m,130 stamina points.,246 attack points.,204 defense points.,6% chance to flee.,2448,2643
137,Porygon,Generation I,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy-protected so it cannot be duplicated by copying.,Normal,,31.94kg,41.06kg,0.7m,0.9m,130 stamina points.,153 attack points.,139 defense points.,9% chance to flee.,1540,1691
138,Omanyte,Generation I,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",Rock,Water,6.56kg,8.44kg,0.35m,0.45m,70 stamina points.,155 attack points.,174 defense points.,9% chance to flee.,992,1119
140,Kabuto,Generation I,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",Rock,Water,10.06kg,12.94kg,0.44m,0.56m,60 stamina points.,148 attack points.,162 defense points.,9% chance to flee.,975,1104
141,Kabutops,Generation I,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water-dweller to living on land as evident from the beginnings of change in its gills and legs.,Rock,Water,35.44kg,45.56kg,1.14m,1.46m,120 stamina points.,220 attack points.,203 defense points.,5% chance to flee.,1957,2130
142,Aerodactyl,Generation I,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,Rock,Flying,51.63kg,66.38kg,1.57m,2.02m,160 stamina points.,221 attack points.,164 defense points.,9% chance to flee.,1994,2165
143,Snorlax,Generation I,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,Normal,,402.5kg,517.5kg,1.84m,2.36m,320 stamina points.,190 attack points.,190 defense points.,9% chance to flee.,2901,3112
144,Articuno,Generation I,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",Ice,Flying,48.48kg,62.33kg,1.49m,1.91m,180 stamina points.,192 attack points.,249 defense points.,10% chance to flee.,2776,2978
145,Zapdos,Generation I,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,Electric,Flying,46.02kg,59.17kg,1.4m,1.8m,180 stamina points.,253 attack points.,188 defense points.,10% chance to flee.,2907,3114
146,Moltres,Generation I,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",Fire,Flying,52.5kg,67.5kg,1.75m,2.25m,180 stamina points.,251 attack points.,184 defense points.,10% chance to flee.,3028,3240
147,Dratini,Generation I,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,Dragon,,2.89kg,3.71kg,1.57m,2.02m,82 stamina points.,119 attack points.,94 defense points.,9% chance to flee.,867,983
148,Dragonair,Generation I,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from its crystals on its neck and tail.,Dragon,,14.44kg,18.56kg,3.5m,4.5m,122 stamina points.,163 attack points.,138 defense points.,6% chance to flee.,1593,1747
149,Dragonite,Generation I,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,Dragon,Flying,183.75kg,236.25kg,1.93m,2.48m,182 stamina points.,263 attack points.,201 defense points.,5% chance to flee.,3280,3500
150,Mewtwo,Generation I,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon's body, they failed to endow Mewtwo with a compassionate heart",Psychic,,106.75kg,137.25kg,1.75m,2.25m,212 stamina points.,330 attack points.,200 defense points.,10% chance to flee.,3904,4144
151,Mew,Generation I,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",Psychic,,3.5kg,4.5kg,0.35m,0.45m,200 stamina points.,210 attack points.,210 defense points.,10% chance to flee.,3087,3299
